last_name,first_name,branch,notes,district_phone,capitol_phone,district,party
Alloway,Richard L. II,Senate,,,SEE Senate S.G. Committee Tab,33,Republican
Argall,David G.,Senate,,(570) 773-0891 ,(717) 787-2637 ,29,Republican
Aument,Ryan P.,Senate,,(717) 627-0036 ,(717) 787-4420 ,36,Republican
Baker,Lisa,Senate,,(570) 675-3931,(717) 787-7428 ,20,Republican
Bartolotta,Camera C.,Senate,,,(717) 787-1463 ,46,Republican
Blake,John P.,Senate,,(570) 207-2881 ,(717) 787-6481,22,Democrat
Boscola,Lisa M.,Senate,,(610) 868-8667 ,(717) 787-4236 ,18,Democrat
Brewster,James R.,Senate,,(412) 380-2242 ,(717) 787-5580 ,45,Democrat
Brooks,Michele,Senate,,,(717) 787-1322,50,Republican
Browne,Patrick M.,Senate,,(610) 821-8468 ,(717) 787-1349 ,16,Republican
Corman,Jake,Senate,,(814) 355-0477 ,(717) 787-1377 ,34,Republican
Costa,Jay,Senate,,(412) 241-6690 ,(717) 787-7683 ,43,Democrat
Dinniman,Andrew E.,Senate,,,SEE Senate S.G. Committee Tab,19,Democrat
Eichelberger,John H. Jr.,Senate,,(814) 695-8386 ,(717) 787-5490 ,30,Republican
Farnese,Lawrence M. Jr.,Senate,,(215) 952-3121 ,(717) 787-5662 ,1,Democrat
Folmer,Mike,Senate,,,SEE Senate S.G. Committee Tab,48,Republican
Fontana,Wayne D.,Senate,,(412) 344-2551 ,(717) 787-5300 ,42,Democrat
Gordner,John R.,Senate,,(570) 784-3464 ,(717) 787-8928 ,27,Republican
Greenleaf,Stewart J.,Senate,,(215) 657-7700 ,(717) 787-6599 ,12,Republican
Haywood,Arthur L. III,Senate,,,(717) 787-1427 ,4,Democrat
Hughes,Vincent J.,Senate,,(215) 879-7777 ,(717) 787-7112 ,7,Democrat
Hutchinson,Scott E.,Senate,,(814) 677-6345 ,(717) 787-9684 ,21,Republican
Kitchen,Shirley M.,Senate,,(215) 227-6161 ,(717) 787-6735 ,3,Democrat
Leach,Daylin,Senate,,,SEE Senate S.G. Committee Tab,17,Democrat
Mcgarrigle,Thomas J.,Senate,,,(717) 787-1350 ,26,Republican
Mcilhinney,Charles T. Jr.,Senate,,,SEE Senate S.G. Committee Tab,10,Republican
Mensch,Bob,Senate,,(215) 541-2388 ,(717) 787-3110 ,24,Republican
Rafferty,John C. Jr.,Senate,,(610) 831-8830,(717) 787-1398 ,44,Republican
Reschenthaler,Guy,Senate,,(412) 571-2169,(717) 787-5839,37,Republican
Sabatina,John P. Jr.,Senate,,(215) 281-2539,(717) 787-9608,5,Democrat
Scarnati,Joseph B. III,Senate,,,SEE Senate S.G. Committee Tab,25,Republican
Scavello,Mario M.,Senate,,,(717) 787-6123,40,Republican
Schwank,Judith L.,Senate,,,SEE Senate S.G. Committee Tab,11,Democrat
Smucker,Lloyd K.,Senate,,(717) 397-1309 ,(717) 787-6535 ,13,Republican
Stefano,Patrick J.,Senate,,,SEE Senate S.G. Committee Tab,32,Republican
Tartaglione,Christine M.,Senate,,(215) 533-0440 ,(717) 787-1141 ,2,Democrat
Teplitz,Rob,Senate,,(717) 232-2937 ,(717) 787-6801 ,15,Democrat
Tomlinson,Robert M.,Senate,,(215) 638-1784 ,(717) 787-5072 ,6,Republican
Vance,Patricia H.,Senate,,(717) 975-1985 ,(717) 787-8524 ,31,Republican
Vogel,Elder A. Jr.,Senate,,(724) 774-0444 ,(717) 787-3076,47,Republican
Vulakovich,Randy,Senate,,(412) 487-6600 ,(717) 787-6538 ,38,Republican
Wagner,Scott,Senate,,(717) 846-2828 ,(717) 787-3817 ,28,Republican
Ward,Kim L.,Senate,,(724) 600-7002 ,(717) 787-6063 ,39,Republican
White,Donald C.,Senate,,,SEE Senate S.G. Committee Tab,41,Republican
Wiley,Sean,Senate,,(814) 453-2515 ,(717) 787-8927 ,49,Democrat
Williams,Anthony H.,Senate,,,SEE Senate S.G. Committee Tab,8,Democrat
Wozniak,John N.,Senate,,(814) 266-2277 ,(717) 787-5400 ,35,Democrat
Yaw,Gene,Senate,,(570) 322-6457 ,(717) 787-3280 ,23,Republican
Yudichak,John T.,Senate,,(570) 883-4690 ,(717) 787-7105,14,Democrat
